Structure,StructureType,SyllableEncodingType,SyllableShape,SyllabicRole,HKCACTypeFrequencies,HKCACTokenFrequencies,HKCACTypeProbabilities,HKCACTokenProbabilities,HKCanCorTypeFrequencies,HKCanCorTokenFrequencies,HKCanCorTypeProbabilities,HKCanCorTokenProbabilities,IARPATypeFrequencies,IARPATokenFrequencies,IARPATypeProbabilities,IARPATokenProbabilities,Notes
ngaat,syllable,colloquial,CVS,syllable,6,27,0.0003855050,0.0000431369,0,0,0.0000000000,0.0000000000,5,7,0.0001143903,0.0000066910,
ngon,syllable,regular,CVN,syllable,26,102,0.0016705217,0.0001869266,0,0,0.0000000000,0.0000000000,4,5,0.0000915122,0.0000047793,
ngot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
nging,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngik,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngeng,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngek,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngoeng,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngoek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngang,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngak,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ngaang,syllable,regular,CVN,syllable,5,11,0.0003212542,0.0000359474,7,18,0.0004865165,0.0001145796,0,0,0.0000000000,0.0000000000,
ngaak,syllable,regular,CVS,syllable,10,26,0.0006425084,0.0000718949,5,11,0.0003475118,0.0000700209,5,8,0.0001143903,0.0000076468,
ngong,syllable,regular,CVN,syllable,1,1,0.0000642508,0.0000071895,3,8,0.0002085071,0.0000509243,1,1,0.0000228781,0.0000009559,
ngok,syllable,regular,CVS,syllable,4,6,0.0002570033,0.0000287579,5,16,0.0003475118,0.0001018486,2,2,0.0000457561,0.0000019117,
ngung,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
nguk,syllable,regular,CVS,syllable,2,2,0.0001285017,0.0000143790,0,0,0.0000000000,0.0000000000,5,6,0.0001143903,0.0000057351,
wi,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
we,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,4,7,0.0000915122,0.0000066910,
wyu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
woe,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
wu,syllable,regular,CV,syllable,30,96,0.0019275251,0.0002156846,16,34,0.0011120378,0.0002164282,106,376,0.0024250744,0.0003594017,
wo,syllable,regular,CV,syllable,8,271,0.0005140067,0.0000575159,12,942,0.0008340284,0.0059963335,38,4830,0.0008693663,0.0046167831,
waa,syllable,regular,CV,syllable,73,1282,0.0046903110,0.0005248325,71,1383,0.0049346678,0.0088035341,221,13082,0.0050560512,0.0125045045,
wei,syllable,impossible,CVV,syllable,6,124,0.0003855050,0.0000431369,1,1,0.0000695024,0.0000063655,0,0,0.0000000000,0.0000000000,
weoi,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
wui,syllable,regular,CVV,syllable,97,865,0.0062323310,0.0006973802,40,910,0.0027800945,0.0057926363,133,2096,0.0030427820,0.0020034736,
woi,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
wai,syllable,regular,CVV,syllable,97,943,0.0062323310,0.0006973802,117,844,0.0081317765,0.0053725111,266,5922,0.0060855639,0.0056605775,
waai,syllable,regular,CVV,syllable,11,40,0.0007067592,0.0000790843,11,26,0.0007645260,0.0001655039,24,125,0.0005490734,0.0001194820,
