Structure,StructureType,SyllableEncodingType,SyllableShape,SyllabicRole,HKCACTypeFrequencies,HKCACTokenFrequencies,HKCACTypeProbabilities,HKCACTokenProbabilities,HKCanCorTypeFrequencies,HKCanCorTokenFrequencies,HKCanCorTypeProbabilities,HKCanCorTokenProbabilities,IARPATypeFrequencies,IARPATokenFrequencies,IARPATypeProbabilities,IARPATokenProbabilities,Notes
ben,syllable,loan,CVN,syllable,1,1,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
bet,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
byun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
byut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
beon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
beot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ban,syllable,regular,CVN,syllable,9,29,0.0005782575,0.0000647054,21,35,0.0014595496,0.0002227937,82,280,0.0018760009,0.0002676396,
bat,syllable,regular,CVS,syllable,69,276,0.0044333076,0.0004960745,54,352,0.0037531276,0.0022406681,101,1713,0.0023106841,0.0016373808,
baan,syllable,regular,CVN,syllable,34,92,0.0021845284,0.0002444425,37,251,0.0025715874,0.0015977491,170,2106,0.0038892702,0.0020130321,
baat,syllable,regular,CVS,syllable,36,75,0.0023130301,0.0002588215,53,169,0.0036836252,0.0010757753,68,1007,0.0015557081,0.0009625467,
bon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
bot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
bun,syllable,regular,CVN,syllable,56,317,0.0035980468,0.0004026112,53,406,0.0036836252,0.0025844070,112,1723,0.0025623427,0.0016469394,
but,syllable,regular,CVS,syllable,1,1,0.0000642508,0.0000071895,3,4,0.0002085071,0.0000254621,7,12,0.0001601464,0.0000114703,
bing,syllable,regular,CVN,syllable,9,17,0.0005782575,0.0000647054,5,9,0.0003475118,0.0000572898,36,112,0.0008236102,0.0001070558,
bik,syllable,regular,CVS,syllable,8,18,0.0005140067,0.0000575159,12,41,0.0008340284,0.0002609869,22,80,0.0005033173,0.0000764685,
beng,syllable,regular,CVN,syllable,7,14,0.0004497558,0.0000503264,13,28,0.0009035307,0.0001782350,33,143,0.0007549760,0.0001366874,
bek,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
boeng,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
boek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
bang,syllable,regular,CVN,syllable,1,2,0.0000642508,0.0000071895,1,1,0.0000695024,0.0000063655,9,15,0.0002059025,0.0000143378,
bak,syllable,regular,CVS,syllable,5,6,0.0003212542,0.0000359474,11,25,0.0007645260,0.0001591384,44,193,0.0010066346,0.0001844802,
baang,syllable,regular,CVN,syllable,3,8,0.0001927525,0.0000215685,3,7,0.0002085071,0.0000445587,2,9,0.0000457561,0.0000086027,
baak,syllable,regular,CVS,syllable,43,126,0.0027627859,0.0003091479,62,169,0.0043091465,0.0010757753,155,1756,0.0035460993,0.0016784826,
bong,syllable,regular,CVN,syllable,17,84,0.0010922642,0.0001222213,14,119,0.0009730331,0.0007574986,33,662,0.0007549760,0.0006327765,
bok,syllable,regular,CVS,syllable,8,13,0.0005140067,0.0000575159,11,17,0.0007645260,0.0001082141,44,211,0.0010066346,0.0002016856,
bung,syllable,regular,CVN,syllable,1,7,0.0000642508,0.0000071895,5,6,0.0003475118,0.0000381932,0,0,0.0000000000,0.0000000000,
buk,syllable,regular,CVS,syllable,1,1,0.0000642508,0.0000071895,7,12,0.0004865165,0.0000763864,6,14,0.0001372684,0.0000133820,
pi,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,1,1,0.0000228781,0.0000009559,
pe,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,1,3,0.0000695024,0.0000190966,0,0,0.0000000000,0.0000000000,
pyu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
poe,syllable,loan,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pu,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
po,syllable,regular,CV,syllable,12,28,0.0007710100,0.0000862738,19,47,0.0013205449,0.0002991801,43,449,0.0009837566,0.0004291792,
paa,syllable,regular,CV,syllable,5,19,0.0003212542,0.0000359474,6,16,0.0004170142,0.0001018486,31,357,0.0007092199,0.0003412405,
pei,syllable,regular,CVV,syllable,9,170,0.0005782575,0.0000647054,21,252,0.0014595496,0.0016041147,48,260,0.0010981469,0.0002485225,
peoi,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pui,syllable,regular,CVV,syllable,23,55,0.0014777692,0.0001653582,8,29,0.0005560189,0.0001846005,42,249,0.0009608785,0.0002380081,
poi,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pai,syllable,regular,CVV,syllable,5,16,0.0003212542,0.0000359474,2,6,0.0001390047,0.0000381932,12,93,0.0002745367,0.0000888946,
paai,syllable,regular,CVV,syllable,23,58,0.0014777692,0.0001653582,41,122,0.0028495969,0.0007765952,82,1397,0.0018760009,0.0013353304,
piu,syllable,regular,CVV,syllable,11,48,0.0007067592,0.0000790843,8,54,0.0005560189,0.0003437389,34,296,0.0007778540,0.0002829333,
peu,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pou,syllable,regular,CVV,syllable,13,36,0.0008352609,0.0000934633,29,91,0.0020155685,0.0005792636,73,359,0.0016700984,0.0003431522,
pau,syllable,colloquial,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,1,5,0.0000228781,0.0000047793,
paau,syllable,regular,CVV,syllable,5,5,0.0003212542,0.0000359474,11,45,0.0007645260,0.0002864491,37,190,0.0008464882,0.0001816126,
pim,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pip,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pem,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pep,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pam,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pap,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
paam,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
paap,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pin,syllable,regular,CVN,syllable,21,36,0.0013492675,0.0001509792,27,60,0.0018765638,0.0003819321,63,185,0.0014413178,0.0001768333,
pit,syllable,regular,CVS,syllable,2,3,0.0001285017,0.0000143790,2,2,0.0001390047,0.0000127311,3,13,0.0000686342,0.0000124261,
pen,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pet,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pyun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pyut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
peon,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
peot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pan,syllable,impossible,CVN,syllable,6,12,0.0003855050,0.0000431369,4,7,0.0002780095,0.0000445587,13,72,0.0002974148,0.0000688216,
pat,syllable,loan,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,1,6,0.0000228781,0.0000057351,
paan,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,2,2,0.0001390047,0.0000127311,3,4,0.0000686342,0.0000038234,
paat,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pon,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pot,syllable,loan,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pun,syllable,regular,CVN,syllable,11,66,0.0007067592,0.0000790843,7,23,0.0004865165,0.0001464073,39,196,0.0008922443,0.0001873477,
put,syllable,regular,CVS,syllable,2,4,0.0001285017,0.0000143790,1,2,0.0000695024,0.0000127311,2,3,0.0000457561,0.0000028676,
ping,syllable,regular,CVN,syllable,25,92,0.0016062709,0.0001797372,25,61,0.0017375591,0.0003882976,97,709,0.0022191718,0.0006777017,
pik,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,3,5,0.0000686342,0.0000047793,
peng,syllable,regular,CVN,syllable,3,3,0.0001927525,0.0000215685,2,61,0.0001390047,0.0003882976,7,9,0.0001601464,0.0000086027,
pek,syllable,regular,CVS,syllable,2,6,0.0001285017,0.0000143790,6,6,0.0004170142,0.0000381932,8,20,0.0001830245,0.0000191171,
poeng,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
poek,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
pang,syllable,regular,CVN,syllable,7,214,0.0004497558,0.0000503264,10,50,0.0006950236,0.0003182767,13,500,0.0002974148,0.0004779279,
pak,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
paang,syllable,regular,CVN,syllable,4,7,0.0002570033,0.0000287579,2,3,0.0001390047,0.0000190966,27,47,0.0006177076,0.0000449252,
paak,syllable,regular,CVS,syllable,13,52,0.0008352609,0.0000934633,14,46,0.0009730331,0.0002928146,38,215,0.0008693663,0.0002055090,
pong,syllable,regular,CVN,syllable,3,12,0.0001927525,0.0000215685,3,3,0.0002085071,0.0000190966,6,25,0.0001372684,0.0000238964,
pok,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,1,1,0.0000695024,0.0000063655,7,44,0.0001601464,0.0000420577,
pung,syllable,regular,CVN,syllable,5,14,0.0003212542,0.0000359474,3,9,0.0002085071,0.0000572898,9,15,0.0002059025,0.0000143378,
puk,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,4,4,0.0002780095,0.0000254621,1,1,0.0000228781,0.0000009559,
di,syllable,colloquial,CV,syllable,9,1295,0.0005782575,0.0000647054,34,2508,0.0023630803,0.0159647604,40,14768,0.0009151224,0.0141160772,
de,syllable,regular,CV,syllable,1,1,0.0000642508,0.0000071895,1,2,0.0000695024,0.0000127311,3,16,0.0000686342,0.0000152937,
dyu,syllable,impossible,CV,syllable,1,1,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
doe,syllable,regular,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
du,syllable,regular,CV,syllable,0,0,0.0000000000,0.0000000000,9,9,0.0006255213,0.0000572898,0,0,0.0000000000,0.0000000000,
do,syllable,regular,CV,syllable,55,561,0.0035337959,0.0003954217,32,764,0.0022240756,0.0048632683,81,4653,0.0018531229,0.0044475966,
daa,syllable,regular,CV,syllable,40,136,0.0025700334,0.0002875794,32,148,0.0022240756,0.0009420991,155,2697,0.0035460993,0.0025779429,
dei,syllable,regular,CVV,syllable,48,1080,0.0030840401,0.0003450953,51,1010,0.0035446205,0.0064291898,142,5849,0.0032486845,0.0055908001,
deoi,syllable,regular,CVV,syllable,30,297,0.0019275251,0.0002156846,37,198,0.0025715874,0.0012603758,92,683,0.0021047815,0.0006528495,
dui,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
doi,syllable,regular,CVV,syllable,35,125,0.0022487792,0.0002516320,25,69,0.0017375591,0.0004392219,53,214,0.0012125372,0.0002045531,
dai,syllable,regular,CVV,syllable,82,268,0.0052685685,0.0005895379,62,272,0.0043091465,0.0017314254,147,1488,0.0033630748,0.0014223133,
daai,syllable,regular,CVV,syllable,107,576,0.0068748394,0.0007692750,102,553,0.0070892410,0.0035201406,406,3580,0.0092884923,0.0034219635,
diu,syllable,regular,CVV,syllable,14,36,0.0008995117,0.0001006528,11,20,0.0007645260,0.0001273107,63,647,0.0014413178,0.0006184386,
deu,syllable,colloquial,CVV,syllable,3,5,0.0001927525,0.0000215685,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
dou,syllable,regular,CVV,syllable,206,3169,0.0132356721,0.0014810341,131,3812,0.0091048096,0.0242654173,700,32296,0.0160146420,0.0308703162,
dau,syllable,regular,CVV,syllable,8,12,0.0005140067,0.0000575159,14,35,0.0009730331,0.0002227937,52,454,0.0011896591,0.0004339585,
daau,syllable,impossible,CVV,syllable,1,1,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
dim,syllable,regular,CVN,syllable,99,567,0.0063608327,0.0007117591,77,813,0.0053516820,0.0051751795,96,291,0.0021962938,0.0002781540,
dip,syllable,regular,CVS,syllable,4,16,0.0002570033,0.0000287579,9,63,0.0006255213,0.0004010287,10,64,0.0002287806,0.0000611748,
dem,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
dep,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,1,4,0.0000695024,0.0000254621,0,0,0.0000000000,0.0000000000,
dam,syllable,colloquial,CVN,syllable,1,6,0.0000642508,0.0000071895,1,3,0.0000695024,0.0000190966,11,38,0.0002516587,0.0000363225,
dap,syllable,colloquial,CVS,syllable,3,33,0.0001927525,0.0000215685,1,1,0.0000695024,0.0000063655,3,15,0.0000686342,0.0000143378,
daam,syllable,regular,CVN,syllable,12,43,0.0007710100,0.0000862738,15,28,0.0010425354,0.0001782350,44,161,0.0010066346,0.0001538928,
daap,syllable,regular,CVS,syllable,11,37,0.0007067592,0.0000790843,16,66,0.0011120378,0.0004201253,34,313,0.0007778540,0.0002991828,
din,syllable,regular,CVN,syllable,26,197,0.0016705217,0.0001869266,36,296,0.0025020851,0.0018841982,175,8459,0.0040036605,0.0080855835,
dit,syllable,regular,CVS,syllable,7,44,0.0004497558,0.0000503264,4,23,0.0002780095,0.0001464073,25,245,0.0005719515,0.0002341847,
den,syllable,loan,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
det,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
dyun,syllable,regular,CVN,syllable,25,117,0.0016062709,0.0001797372,14,84,0.0009730331,0.0005347049,40,180,0.0009151224,0.0001720540,
dyut,syllable,regular,CVS,syllable,1,1,0.0000642508,0.0000071895,1,1,0.0000695024,0.0000063655,2,2,0.0000457561,0.0000019117,
deon,syllable,regular,CVN,syllable,5,5,0.0003212542,0.0000359474,4,40,0.0002780095,0.0002546214,17,31,0.0003889270,0.0000296315,
deot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
dan,syllable,regular,CVN,syllable,6,11,0.0003855050,0.0000431369,15,21,0.0010425354,0.0001336762,11,996,0.0002516587,0.0009520323,
dat,syllable,regular,CVS,syllable,6,41,0.0003855050,0.0000431369,8,34,0.0005560189,0.0002164282,16,100,0.0003660490,0.0000955856,
daan,syllable,regular,CVN,syllable,25,685,0.0016062709,0.0001797372,41,893,0.0028495969,0.0056844223,112,875,0.0025623427,0.0008363738,
daat,syllable,regular,CVS,syllable,10,48,0.0006425084,0.0000718949,10,31,0.0006950236,0.0001973316,25,72,0.0005719515,0.0000688216,
don,syllable,loan,CVN,syllable,1,1,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
dot,syllable,impossible,CVS,syllable,1,1,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
dun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
dut,syllable,impossible,CVS,syllable,1,1,0.0000642508,0.0000071895,1,1,0.0000695024,0.0000063655,0,0,0.0000000000,0.0000000000,
ding,syllable,regular,CVN,syllable,54,308,0.0034695451,0.0003882322,40,275,0.0027800945,0.0017505220,111,1600,0.0025394647,0.0015293691,
dik,syllable,regular,CVS,syllable,8,23,0.0005140067,0.0000575159,12,35,0.0008340284,0.0002227937,30,164,0.0006863418,0.0001567603,
deng,syllable,regular,CVN,syllable,3,16,0.0001927525,0.0000215685,6,29,0.0004170142,0.0001846005,53,349,0.0012125372,0.0003335936,
dek,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,2,2,0.0001390047,0.0000127311,2,7,0.0000457561,0.0000066910,
doeng,syllable,colloquial,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
doek,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,1,9,0.0000695024,0.0000572898,5,19,0.0001143903,0.0000181613,
dang,syllable,regular,CVN,syllable,28,194,0.0017990234,0.0002013056,26,106,0.0018070614,0.0006747467,87,1570,0.0019903912,0.0015006935,
dak,syllable,regular,CVS,syllable,87,973,0.0055898227,0.0006254853,70,1535,0.0048651654,0.0097710954,381,8794,0.0087165408,0.0084057952,
daang,syllable,regular,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
daak,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
dong,syllable,regular,CVN,syllable,63,283,0.0040478026,0.0004529376,37,109,0.0025715874,0.0006938433,83,540,0.0018988790,0.0005161621,
dok,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,2,18,0.0001390047,0.0001145796,3,23,0.0000686342,0.0000219847,
dung,syllable,regular,CVN,syllable,57,135,0.0036622976,0.0004098007,39,103,0.0027105922,0.0006556500,208,1144,0.0047586365,0.0010934989,
duk,syllable,regular,CVS,syllable,33,110,0.0021202776,0.0002372530,15,231,0.0010425354,0.0014704385,51,599,0.0011667811,0.0005725576,
ti,syllable,loan,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
te,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
tyu,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
toe,syllable,impossible,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
tu,syllable,colloquial,CV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
to,syllable,regular,CV,syllable,13,46,0.0008352609,0.0000934633,6,12,0.0004170142,0.0000763864,24,105,0.0005490734,0.0001003649,
taa,syllable,regular,CV,syllable,4,48,0.0002570033,0.0000287579,5,60,0.0003475118,0.0003819321,8,369,0.0001830245,0.0003527108,
tei,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
teoi,syllable,regular,CVV,syllable,23,50,0.0014777692,0.0001653582,20,42,0.0013900473,0.0002673524,54,296,0.0012354152,0.0002829333,
tui,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
toi,syllable,regular,CVV,syllable,15,43,0.0009637625,0.0001078423,21,50,0.0014595496,0.0003182767,71,505,0.0016243423,0.0004827071,
tai,syllable,regular,CVV,syllable,67,811,0.0043048060,0.0004816956,60,760,0.0041701418,0.0048378062,191,6012,0.0043697094,0.0057466046,
taai,syllable,regular,CVV,syllable,28,110,0.0017990234,0.0002013056,27,126,0.0018765638,0.0008020573,64,522,0.0014641958,0.0004989567,
tiu,syllable,regular,CVV,syllable,37,106,0.0023772809,0.0002660110,25,137,0.0017375591,0.0008720782,73,951,0.0016700984,0.0009090188,
teu,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
tou,syllable,regular,CVV,syllable,30,54,0.0019275251,0.0002156846,49,157,0.0034056158,0.0009993889,113,484,0.0025852208,0.0004626342,
tau,syllable,regular,CVV,syllable,70,262,0.0044975585,0.0005032640,78,308,0.0054211843,0.0019605846,241,1399,0.0055136124,0.0013372421,
taau,syllable,impossible,CVV,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
tim,syllable,regular,CVN,syllable,2,22,0.0001285017,0.0000143790,5,77,0.0003475118,0.0004901462,15,361,0.0003431709,0.0003450639,
tip,syllable,regular,CVS,syllable,4,10,0.0002570033,0.0000287579,3,7,0.0002085071,0.0000445587,9,51,0.0002059025,0.0000487486,
tem,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
tep,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
tam,syllable,colloquial,CVN,syllable,1,4,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,2,11,0.0000457561,0.0000105144,
tap,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
taam,syllable,regular,CVN,syllable,14,23,0.0008995117,0.0001006528,13,23,0.0009035307,0.0001464073,43,137,0.0009837566,0.0001309522,
taap,syllable,regular,CVS,syllable,1,1,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,8,36,0.0001830245,0.0000344108,
tin,syllable,regular,CVN,syllable,20,37,0.0012850167,0.0001437897,44,88,0.0030581040,0.0005601670,139,680,0.0031800503,0.0006499819,
tit,syllable,regular,CVS,syllable,6,26,0.0003855050,0.0000431369,12,23,0.0008340284,0.0001464073,21,187,0.0004804393,0.0001787450,
ten,syllable,loan,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
tet,syllable,colloquial,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
tyun,syllable,regular,CVN,syllable,5,7,0.0003212542,0.0000359474,19,49,0.0013205449,0.0003119112,56,511,0.0012811714,0.0004884423,
tyut,syllable,regular,CVS,syllable,2,2,0.0001285017,0.0000143790,2,2,0.0001390047,0.0000127311,2,2,0.0000457561,0.0000019117,
teon,syllable,regular,CVN,syllable,3,8,0.0001927525,0.0000215685,1,1,0.0000695024,0.0000063655,4,6,0.0000915122,0.0000057351,
teot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
tan,syllable,regular,CVN,syllable,3,3,0.0001927525,0.0000215685,2,6,0.0001390047,0.0000381932,15,28,0.0003431709,0.0000267640,
tat,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
taan,syllable,regular,CVN,syllable,15,40,0.0009637625,0.0001078423,15,24,0.0010425354,0.0001527728,31,83,0.0007092199,0.0000793360,
taat,syllable,regular,CVS,syllable,1,1,0.0000642508,0.0000071895,1,1,0.0000695024,0.0000063655,1,17,0.0000228781,0.0000162495,
ton,syllable,impossible,CVN,syllable,2,6,0.0001285017,0.0000143790,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
tot,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
tun,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
tut,syllable,impossible,CVS,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
ting,syllable,regular,CVN,syllable,21,92,0.0013492675,0.0001509792,22,74,0.0015290520,0.0004710495,83,1891,0.0018988790,0.0018075232,
tik,syllable,regular,CVS,syllable,1,1,0.0000642508,0.0000071895,0,0,0.0000000000,0.0000000000,3,6,0.0000686342,0.0000057351,
teng,syllable,regular,CVN,syllable,18,251,0.0011565150,0.0001294107,11,219,0.0007645260,0.0013940520,80,5505,0.0018302448,0.0052619857,
tek,syllable,regular,CVS,syllable,0,0,0.0000000000,0.0000000000,3,14,0.0002085071,0.0000891175,9,93,0.0002059025,0.0000888946,
toeng,syllable,impossible,CVN,syllable,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,0,0,0.0000000000,0.0000000000,
