OrthographicRepresentationTraditional,OrthographicRepresentationSimplified,PhonologicalRepresentationJyutping,NumberOfSyllables,PartOfSpeech,HKCACFrequency,HKCACProbability,HKCanCorFrequency,HKCanCorProbability,IARPAFrequency,IARPAProbability,TotalFrequency,TotalProbability,HKFrequency,HKProbability,,,,,,
下,下,haa5,1,"U, F, Q, Y, M",154,0.0015491243,387,0.0032256182,1893,0.0022786776,2434,0.0023178016,541,0.0024659507,,,,,,
唔好,唔好,m4hou2,2,"VU, V",152,0.0015290058,78,0.0006501246,0,0.0000000000,230,0.0002190199,230,0.0010483709,,,,,,
先,先,sin1,1,"D, Y, TG, F",146,0.0014686504,250,0.0020837327,3127,0.0037640913,3523,0.0033548132,396,0.0018050212,,,,,,
應該,应该,jing1goi1,2,"VU, V",143,0.0014384726,175,0.0014586129,1076,0.0012952230,1394,0.0013274509,318,0.0014494868,,,,,,
一啲,一啲,jat1di1,2,"M, R, Q, U",139,0.0013982356,86,0.0007168041,50,0.0000601869,275,0.0002618716,225,0.0010255803,,,,,,
但,但,daan6,1,C,138,0.0013881764,31,0.0002583829,123,0.0001480599,292,0.0002780600,169,0.0007703247,,,,,,
亦都,亦都,jik6dou1,2,D,138,0.0013881764,58,0.0004834260,8,0.0000096299,204,0.0001942611,196,0.0008933944,,,,,,
住,住,zyu6,1,"V, U",136,0.0013680579,246,0.0020503930,2185,0.0026301693,2567,0.0024444523,382,0.0017412074,,,,,,
呢啲,呢啲,ni1di1,2,R,134,0.0013479394,1,0.0000083349,827,0.0009954920,962,0.0009160744,135,0.0006153482,,,,,,
點解,点解,dim2gaai2,2,R,129,0.0012976431,176,0.0014669478,575,0.0006921498,880,0.0008379891,305,0.0013902310,,,,,,
一定,一定,jat1ding6,2,D,124,0.0012473469,85,0.0007084691,212,0.0002551926,421,0.0004009016,209,0.0009526501,,,,,,
朋友,朋友,pang4jau5,2,N,122,0.0012272284,31,0.0002583829,316,0.0003803815,469,0.0004466101,153,0.0006973946,,,,,,
喂,喂,wai3,1,"E, E, Y, Y1",118,0.0011869914,160,0.0013335889,3344,0.0040253026,3622,0.0034490869,278,0.0012671614,,,,,,
知道,知道,zi1dou3,2,V,118,0.0011869914,55,0.0004584212,428,0.0005152002,601,0.0005723085,173,0.0007885573,,,,,,
,,gan2,1,###,118,0.0011869914,0,0.0000000000,0,0.0000000000,118,0.0001123667,118,0.0005378599,,,,,,
出嚟,出嚟,ceot1lei4,2,###,114,0.0011467544,0,0.0000000000,0,0.0000000000,114,0.0001085577,114,0.0005196273,,,,,,
